category,title,price,image
noutbuki,"Ноутбук Haier U1500SM (Intel Celeron N4000 1100MHz/15.6""/1920x1080/4GB/128GB SSD/64GB eMMC/Intel UHD Graphics 600/Windows 10 Home)",32 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
noutbuki,"Ноутбук Haier U1500SD (Intel Celeron N4000 1100MHz/15.6""/1920x1080/4GB/128GB SSD/64GB eMMC/Intel UHD Graphics 600/Без ОС)",26 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
noutbuki,"Ноутбук Haier U1500HD (Intel Celeron N4000 1100MHz/15.6""/1920x1080/4GB/1000GB HDD/64GB eMMC/Intel UHD Graphics 600/DOS)",29 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
noutbuki,"Ноутбук Haier A1400EM (Intel Celeron N3350 1100MHz/14.1""/1366x768/4GB/64GB eMMC/DVD нет/Intel HD Graphics 500/Wi-Fi/Bluetooth/Windows 10 Home)",24 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
noutbuki,"Ноутбук Haier A1400ED (Intel Celeron N3350 1100MHz/14.1""/1366x768/4GB/64GB eMMC/DVD нет/Intel HD Graphics 500/Wi-Fi/Bluetooth/DOS)",22 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
noutbuki,Ноутбук Haier i428 (13.3” 1920*1080IPS Pentium N4200 /RAM 8 Gb DDR4/Intel SSD 180Gb M.2/battery 5000ma/MS Win 10/metal/подсветка клавиатуры/тёмно-сер),38 990 сом,https://www.planeta.kg/upload/iblock/483/4837040db1d0426cfa29a1b309c361a6.jpeg
noutbuki,"Ноутбук Haier ES34   (13,3"" Full HD IPS Glass/ Core M3 7Y30 /4Gb/ SSD m.2 128Gb/ Full metal/ deep blue)",45 990 сом,https://www.planeta.kg/upload/iblock/2ee/2eef04ab840b28c9bd41c660af3bb8f3.jpeg
sumki_dlya_noutbukov,"Сумка для ноутбука 14"" Krusell Kalix (71155) (Black)",1 730 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для ноутбука 14"" Krusell Gaia slim (71167) (Cream/Black)",2 550 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для ноутбука 14"" Krusell Gaia slim (71165) (Red/Cream)",2 550 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
